"","h2","temperature","trait.variation","replicates","mean_animal_trait","mean_plant_trait","mean_community_trait","animal_biomass","plant_biomass","community_biomass","animal_richness","plant_richness","community_richness"
"1",0,15,"high",1,14.8223271832103,18.5494439001195,17.6176647208922,2.401672964357,5.49615587518039,7.89782883953738,4,12,16
"2",0.4,15,"high",1,15,15,15,12.968713131168,39.8973772740191,52.866090405187,5,17,22
"3",0,16,"high",1,18.2578383525833,18.609136180991,18.5213117238891,1.11386907675806,3.13737715719495,4.25124623395301,4,8,12
"4",0.4,16,"high",1,16,16,16,13.2070808710828,33.2118448632853,46.4189257343681,6,15,21
"5",0,17,"high",1,20.178055082215,15.6802857409154,16.8047280762403,2.62767675582216,5.45100001649887,8.07867677232103,3,12,15
"6",0.4,17,"high",1,17,17,17,10.6548111538971,32.8393015340871,43.4941126879842,5,17,22
"7",0,18,"high",1,16.7221895611146,17.2656856840088,17.1298116532853,0.193571150774229,2.01605331208284,2.20962446285706,3,8,11
"8",0.4,18,"high",1,18,18,18,13.2988683737119,35.1618807151522,48.4607490888641,6,17,23
"9",0,19,"high",1,15.5255047732498,19.1574483390044,18.2494624475657,0.799639381588145,5.32091020056559,6.12054958215374,2,11,13
"10",0.4,19,"high",1,19,19,19,6.8499487064411,15.7145090057589,22.5644577122,5,12,17
"11",0,20,"high",1,19.0648730692919,17.9285554913804,18.2126348858583,1.27372413452888,2.74167173457379,4.01539586910267,4,10,14
"12",0.4,20,"high",1,20,20,20,8.20176599813482,27.8941208526065,36.0958868507413,5,16,21
"13",0,21,"high",1,15.7730510848342,17.6025269504559,17.1451579840505,0.107539363391102,1.57671454354164,1.68425390693274,1,8,9
"14",0.4,21,"high",1,19.5521872484658,20.0395699730157,19.9177242918782,3.79474512050652,12.2644746983391,16.0592198188456,3,10,13
"15",0,22,"high",1,13.5430006112438,15.1879122562241,14.776684344979,0.199280846535516,1.19098873656562,1.39026958310114,1,6,7
"16",0.4,22,"high",1,20.3866814858295,18.7313578127211,19.1451887309982,1.3192127660339,4.08138942904381,5.40060219507771,2,10,12
"17",0,23,"high",1,20.0115590461064,17.6110334399467,18.2111648414866,0.747275896559264,1.27825722523661,2.02553312179587,3,7,10
"18",0.4,23,"high",1,21.0362659546824,21.1582716675259,21.127770239315,2.61135479232333,7.28203884862345,9.89339364094678,3,9,12
"19",0,24,"high",1,16.9065505685285,16.8036242128195,16.8293558017467,0.607948476604188,1.65033992549163,2.25828840209581,2,5,7
"20",0.4,24,"high",1,21.8753991933399,22.0158476715599,21.9807355520049,1.84461552603616,7.352404610349,9.19702013638516,2,12,14
"21",0,25,"high",1,17.8348791971803,17.8752980584977,17.8651933431684,1.22745030530983,1.74672513349434,2.97417543880417,3,6,9
"22",0.4,25,"high",1,20.1969270588641,23.5912163714889,22.7426440433327,1.65566943075463,8.60034635302554,10.2560157837802,2,12,14
"23",0,26,"high",1,15.8314502926078,16.9818796694744,16.6942723252578,-1.33111772275676e-07,0.428966962083703,0.428966828971931,0,3,3
"24",0.4,26,"high",1,20.4599511258659,22.6398939595051,22.0949082510953,1.30115335973842,2.6921125292272,3.99326588896562,2,5,7
"25",0,27,"high",1,18.1330737657845,18.0535806822202,18.0734539531113,0.12536832091154,-2.1777208037575e-08,0.125368299134332,1,0,1
"26",0.4,27,"high",1,21.7029610822531,18.2916127620293,19.1444498420852,0.352557750340501,1.47319504513347,1.82575279547397,1,4,5
"27",0,28,"high",1,20.0346424675081,17.4280650657602,18.0797094161971,0.0229768216106635,0.0605209565836728,0.0834977781943363,1,1,2
"28",0.4,28,"high",1,16.8407825011923,17.7982875247961,17.5589112688952,0.314398682163576,0.566832438909421,0.881231121072997,1,2,3
"29",0,29,"high",1,17.0917853730498,18.0984678460906,17.8467972278304,-1.08187023201863e-08,-4.25631117292615e-09,-1.50750134931125e-08,0,0,0
"30",0.4,29,"high",1,16.0447491573959,17.7278931559158,17.3071071562858,9.02584007673029e-10,-7.18369123124426e-06,-7.18278864723659e-06,0,0,0
"31",0,30,"high",1,16.4881629496813,17.6851001643809,17.385865860706,9.0585935826899e-10,-4.36720807468913e-09,-3.46134871642014e-09,0,0,0
"32",0.4,30,"high",1,20.0254710079313,22.0811367255534,21.5672202961479,-1.09736338434925e-05,0.419500795893148,0.419489822259304,0,2,2
"33",0,31,"high",1,18.2802409760188,18.0601097125327,18.1151425284042,-8.39064588117472e-09,-2.96560768478787e-08,-3.80467227290534e-08,0,0,0
"34",0.4,31,"high",1,17.2020463637341,17.8306319387827,17.6734855450205,-2.86309186284127e-05,-9.01593484150101e-05,-0.000118790267043423,0,0,0
"35",0,32,"high",1,16.7231378040742,18.7391268557015,18.2351295927947,-1.31027703543495e-08,-4.64269287991439e-08,-5.95296991534934e-08,0,0,0
"36",0.4,32,"high",1,14.7237385264638,19.5651264252839,18.3547794505789,-0.000231550257596628,-0.000656518037396275,-0.000888068294992903,0,0,0
"37",0,33,"high",1,17.9717733513098,18.0083067800539,17.9991734228679,-1.37027506687801e-08,-5.33859661363062e-08,-6.70887168050863e-08,0,0,0
"38",0.4,33,"high",1,19.0587118522265,16.5927920408152,17.209271993668,-7.43310455646722e-09,-2.87311129107903e-08,-3.61642174672575e-08,0,0,0
"39",0,34,"high",1,20.495467101573,17.9360384742419,18.5758956310747,-1.30452153822003e-08,-4.47844430045269e-08,-5.78296583867273e-08,0,0,0
"40",0.4,34,"high",1,16.4250029324013,17.9751026082238,17.5875776892682,-5.08546986929264e-09,-1.56971923815397e-08,-2.07826622508323e-08,0,0,0
"41",0,35,"high",1,18.4913208929356,18.1562505064843,18.2400181030971,-1.26176527182942e-08,-3.88824324812732e-08,-5.15000851995674e-08,0,0,0
"42",0.4,35,"high",1,16.6870650097019,17.5263451108531,17.3165250855653,-3.90031844567645e-10,-2.69986831279784e-10,-6.60018675847429e-10,0,0,0
"43",0,36,"high",1,16.2930225639138,16.7080694066438,16.6043076959613,-1.38984699115419e-08,-3.9122249043371e-08,-5.30207189549129e-08,0,0,0
"44",0.4,36,"high",1,18.3959496692552,18.2948913365476,18.3201559197245,-7.38992336078769e-09,-1.99723215976231e-08,-2.73622449584108e-08,0,0,0
"45",0,37,"high",1,18.0922199226916,18.0368171760347,18.0506678626989,-1.32824597191926e-08,-4.9717088390088e-08,-6.29995481092806e-08,0,0,0
"46",0.4,37,"high",1,15.5531204050325,17.4139581980827,16.9487487498202,-7.36755735944368e-09,-1.99055205070934e-08,-2.72730778665371e-08,0,0,0
"47",0,38,"high",1,17.3996504215756,17.8559189221899,17.7418517970364,-1.24189954154482e-08,-5.11287750629212e-08,-6.35477704783694e-08,0,0,0
"48",0.4,38,"high",1,15.6218297936858,18.3659485337025,17.6799188486983,-7.29984650387138e-09,-2.05878094877824e-08,-2.78876559916538e-08,0,0,0
"49",0,39,"high",1,17.147537098499,19.0403832751326,18.5671717309742,-1.69854784784874e-08,-5.65621194903688e-08,-7.35475979688563e-08,0,0,0
"50",0.4,39,"high",1,19.5487890856819,15.7266249420998,16.6821659779954,-6.59238279242062e-09,-2.67432218102858e-08,-3.33356046027064e-08,0,0,0
"51",0,40,"high",1,19.4888713496039,17.8092187171569,18.2291318752686,-1.38835388008325e-08,-4.01736855354129e-08,-5.40572243362455e-08,0,0,0
"52",0.4,40,"high",1,17.3076030762659,19.0162623424787,18.5890975259255,-7.79830299299094e-09,-2.1008345618783e-08,-2.88066486117739e-08,0,0,0
"53",0,41,"high",1,15.3360608284129,16.9241110875737,16.5270985227835,-1.75626695427219e-08,-4.1814886245466e-08,-5.93775557881879e-08,0,0,0
"54",0.4,41,"high",1,17.6478324594199,17.1389414021666,17.2661641664799,-6.48084356318977e-09,-1.75275116890037e-08,-2.40083552521935e-08,0,0,0
"55",0,42,"high",1,18.2532261888264,18.7609948012202,18.6340526481217,-1.40378172661578e-08,-4.17552602339352e-08,-5.5793077500093e-08,0,0,0
"56",0.4,42,"high",1,16.0118087101583,18.8021114735571,18.1045357827074,-7.29633317170652e-09,-2.07348826857252e-08,-2.80312158574317e-08,0,0,0
"57",0,43,"high",1,14.7194699052488,17.2120515387117,16.588906130346,-1.3833592089649e-08,-4.25123387561333e-08,-5.63459308457824e-08,0,0,0
"58",0.4,43,"high",1,19.5977187172684,17.1424285868068,17.7562511194222,-7.56675427836718e-09,-2.50714651794473e-08,-3.26382194578144e-08,0,0,0
"59",0,44,"high",1,16.2536441074917,17.733415128702,17.3634723733994,-1.4232122754419e-08,-4.35865340331384e-08,-5.78186567875573e-08,0,0,0
"60",0.4,44,"high",1,18.2440366953494,19.3354351733638,19.0625855538602,-7.33008416488441e-09,-2.12238289119915e-08,-2.85539130768759e-08,0,0,0
"61",0,45,"high",1,17.8450071718544,17.0196362367521,17.2259789705276,-1.62777991571885e-08,-6.39751900449296e-08,-8.02529892021182e-08,0,0,0
"62",0.4,45,"high",1,18.599613062866,15.5512289204083,16.3133249560227,-7.54298557194653e-09,-2.07027381247197e-08,-2.82457236966662e-08,0,0,0
"63",0,15,"high",2,16.742739303736,19.1540777886985,18.5512431674579,0.766775691160591,2.63424769707128,3.40102338823188,3,7,10
"64",0.4,15,"high",2,15,15,15,11.7175946719588,32.5315397678229,44.2491344397816,6,15,21
"65",0,16,"high",2,16.8509629904293,17.6942161121406,17.4834028317127,0.0101458574105426,1.87423591935196,1.8843817767625,1,9,10
"66",0.4,16,"high",2,16,16,16,5.27670046283604,13.5957742517421,18.8724747145781,3,14,17
"67",0,17,"high",2,15.1798803498968,18.8886724136925,17.9614743977436,1.0067011391003,2.44029892587315,3.44700006497345,4,12,16
"68",0.4,17,"high",2,17,17,17,13.1775481066216,31.4631174703914,44.640665577013,6,15,21
"69",0,18,"high",2,16.3857198128244,16.4464388110597,16.4312590615009,0.0664644910941848,0.907596614431401,0.974061105525586,1,4,5
"70",0.4,18,"high",2,18,18,18,13.684938956551,38.0438901305203,51.7288290870713,6,18,24
"71",0,19,"high",2,17.6803601870779,16.1402174000007,16.52525309677,1.69471059103549,4.16433692260699,5.85904751364249,5,13,18
"72",0.4,19,"high",2,19,19,19,8.28520112693059,16.9426179581297,25.2278190850603,6,11,17
"73",0,20,"high",2,17.7000998734729,19.0107862335087,18.6831146434997,1.54508161224706,5.87788442447716,7.42296603672422,4,14,18
"74",0.4,20,"high",2,20,20,20,8.3017678862953,24.1450712039821,32.4468390902774,5,15,20
"75",0,21,"high",2,13.488068083534,19.7298146460283,18.1693780054047,0.0380813058230097,1.84813431759053,1.88621562341354,1,10,11
"76",0.4,21,"high",2,21,20.6532292225723,20.7399219169292,6.86567028921622,16.8376307216343,23.7033010108505,5,15,20
"77",0,22,"high",2,16.8782511516474,16.9109136046609,16.9027479914075,0.550495683420446,2.00312178418691,2.55361746760735,1,7,8
"78",0.4,22,"high",2,22,21.1773396306998,21.3830047230249,1.74208862237823,11.0967968358434,12.8388854582216,2,12,14
"79",0,23,"high",2,15.8371381543111,19.0705790186378,18.2622188025562,1.60141775878939,3.48263119341118,5.08404895220056,2,11,13
"80",0.4,23,"high",2,23,19.1017339261556,20.0763004446167,2.4660108852862,4.6973559956607,7.1633668809469,2,8,10
"81",0,24,"high",2,15.9690055274405,18.4366393923604,17.8197309261304,0.456375417279447,2.25993974862968,2.71631516590912,1,9,10
"82",0.4,24,"high",2,20.3610933054802,19.8870456031402,20.0055575287252,2.0069518353864,5.24007173481164,7.24702357019804,3,8,11
"83",0,25,"high",2,16.8143884668825,17.7065161702922,17.4834842444398,1.20834443086162e-09,1.02833356701646,1.02833356822481,0,4,4
"84",0.4,25,"high",2,19.01579263448,18.074413336938,18.3097581613235,0.749595815357781,1.2480708519901,1.99766666734788,2,4,6
"85",0,26,"high",2,15.6120274751447,16.6280981649955,16.3740804925328,-1.89331009889506e-08,0.190052473949012,0.190052455015911,0,3,3
"86",0.4,26,"high",2,14.4101725701712,17.1249681219135,16.4462692339779,-2.72961720168952e-09,0.517934093171194,0.517934090441576,0,2,2
"87",0,27,"high",2,14.8905828763964,19.0456440724665,18.006878773449,-1.33563748232829e-09,0.274575179413702,0.274575178078064,0,4,4
"88",0.4,27,"high",2,12.5853556522364,16.5350406250769,15.5476193818668,-2.27831025296844e-10,0.245807467220633,0.245807466992802,0,1,1
"89",0,28,"high",2,16.1122555396287,17.5346441033374,17.1790469624102,9.21148877525663e-10,0.0474668012186614,0.0474668021398102,0,1,1
"90",0.4,28,"high",2,19.6131912238591,20.0155823508317,19.9149845690886,-6.4493676232091e-05,0.232767031139844,0.232702537463611,0,1,1
"91",0,29,"high",2,19.1341491125058,18.1269227996624,18.3787293778732,-5.82346992224967e-08,-1.80021857135646e-07,-2.38256556358143e-07,0,0,0
"92",0.4,29,"high",2,16.0790732700238,19.4626862343813,18.6167829932919,-1.96826885554724e-08,0.220893507956137,0.220893488273448,0,1,1
"93",0,30,"high",2,19.8936794791371,18.7922212941339,19.0675858403847,-2.25471614362319e-08,-4.84736172042575e-08,-7.10207786404894e-08,0,0,0
"94",0.4,30,"high",2,20.7698846791239,17.3531225793159,18.2073131042679,-2.02259156002578e-06,-1.7363315196347e-06,-3.75892307966048e-06,0,0,0
"95",0,31,"high",2,16.9116748159286,15.620396961458,15.9432164250757,-1.42024218594711e-08,-3.84698496974247e-08,-5.26722715568958e-08,0,0,0
"96",0.4,31,"high",2,18.6501199393872,20.5637396077868,20.0853346906869,-1.59279430995692e-05,-5.53077515862238e-05,-7.1235694685793e-05,0,0,0
"97",0,32,"high",2,18.6307276465232,15.8503896867236,16.5454741766735,-1.29955194098335e-08,-4.16614736556819e-08,-5.46569930655154e-08,0,0,0
"98",0.4,32,"high",2,18.5320301161613,19.5767071223034,19.3155378707678,-0.000138076958014237,-0.000391111728502844,-0.000529188686517081,0,0,0
"99",0,33,"high",2,16.5917571977479,17.2377890577385,17.0762810927408,-1.35281602614261e-08,-4.46524216891688e-08,-5.81805819505949e-08,0,0,0
