"","h2","mutualistic_strength","temperature","trait.variation","replicates","mean_animal_trait","mean_plant_trait","mean_community_trait","animal_biomass","plant_biomass","community_biomass","animal_richness","plant_richness","community_richness","temp_of_collapse","abruptness"
"1",0,0.5,15,"high",1,14.7072754468536,15.1972452033078,15.0747527641943,0.843862737555967,2.62461182531406,3.46847456287003,3,7,10,0,0
"2",0.4,0.5,15,"high",1,15,15,15,5.55580007544363,14.8502466574393,20.4060467328829,6,15,21,0,0
"3",0,0.75,15,"high",1,16.3179689424578,17.9562070170262,17.5466474983841,1.28459925377053,2.85832385799968,4.14292311177021,2,6,8,0,0
"4",0.4,0.75,15,"high",1,15,15,15,5.16638844728202,19.6658561651519,24.8322446124339,4,15,19,0,0
"5",0,1,15,"high",1,17.6043734734412,17.4478197912686,17.4869582118117,1.11680383873887,3.56466581277592,4.68146965151479,4,7,11,0,0
"6",0.4,1,15,"high",1,15,15,15,15.6280363726444,43.0671319501435,58.6951683227879,6,18,24,0,0
"7",0,1.25,15,"high",1,15.7978233788162,17.824075895672,17.3175127664581,2.26082678536185,4.12649158101608,6.38731836637794,5,8,13,0,0
"8",0.4,1.25,15,"high",1,15,15.3810057945334,15.2857543459001,6.57728479878085,13.9147921329943,20.4920769317751,3,12,15,0,0
"9",0,1.5,15,"high",1,21.4776718872599,16.3386216947886,17.6233842429065,1.73618809207895,3.75722001093472,5.49340810301367,2,9,11,0,0
"10",0.4,1.5,15,"high",1,14.9999999999999,14.9999999999999,14.9999999999999,29.2532983493307,71.6537263888289,100.90702473816,6,18,24,0,0
"11",0,1.75,15,"high",1,19.8184838268207,19.6036646233794,19.6573694242397,3.18494247268659,5.50030392482924,8.68524639751583,5,11,16,0,0
"12",0.4,1.75,15,"high",1,14.9999999999999,15.4153852593899,15.3115389445424,24.9980768563118,57.2780759921535,82.2761528484653,5,14,19,0,0
"13",0,2,15,"high",1,15.3845956502482,15.8923234920561,15.7653915316041,11.0443924057329,21.9151904716687,32.9595828774016,5,12,17,0,0
"14",0.4,2,15,"high",1,15,15,15,39.6883113380629,87.9716606138417,127.659971951905,6,18,24,0,0
"15",0,2.25,15,"high",1,17.2641856677365,16.4875517459586,16.6817102264031,12.854912449671,32.6295707234389,45.4844831731099,6,18,24,0,0
"16",0.4,2.25,15,"high",1,14.9999999999997,14.9999999999997,14.9999999999997,43.8474525244098,93.2294677234596,137.076920247869,6,18,24,0,0
"17",0,2.5,15,"high",1,17.090832752292,17.6240987767233,17.4907822706155,5.69147549228841,13.2808892193088,18.9723647115972,4,14,18,0,0
"18",0.4,2.5,15,"high",1,14.9999999999997,14.9999999999997,14.9999999999997,47.4522693713477,97.2934143915132,144.745683762861,6,18,24,0,0
"19",0,2.75,15,"high",1,14.3975691287778,16.9901304113834,16.341990090732,18.8347879891424,42.441221011237,61.2760090003794,6,17,23,0,0
"20",0.4,2.75,15,"high",1,14.9999999999997,14.9999999999996,14.9999999999996,50.648286857502,100.512256933902,151.160543791404,6,18,24,0,0
"21",0,3,15,"high",1,15.6539787229849,17.6340299105505,17.1390171136591,19.8780908922536,50.2630220623419,70.1411129545955,6,18,24,0,0
"22",0.4,3,15,"high",1,14.9999999999997,14.9999999999997,14.9999999999997,53.5102711772682,103.102960138458,156.613231315726,6,18,24,0,0
"23",0,3.25,15,"high",1,20.7510722585721,18.0579098998957,18.7312004895648,17.5050194236505,45.1195911984468,62.6246106220974,6,18,24,0,0
