"","h2","temperature","trait.variation","replicates","mean_animal_trait","mean_plant_trait","mean_community_trait","animal_biomass","plant_biomass","community_biomass","animal_richness","plant_richness","community_richness","temp_of_recovery","abruptness"
"1",0,45,"high",1,19.3283155129757,17.5111128851616,17.9654135421151,-5.7210912870742e-09,-2.6251781003299e-08,-3.19728722903732e-08,0,0,0,0,0
"2",0.4,45,"high",1,18,18,18,-8.92819938609237e-09,-3.19668180585129e-08,-4.08950174446053e-08,0,0,0,0,0
"3",0,44,"high",1,19.3283155129757,17.5111128851616,17.9654135421151,-1.69152100035965e-08,-3.93096500162195e-08,-5.6224860019816e-08,0,0,0,0,0
"4",0.4,44,"high",1,18,18,18,-9.42532310583699e-09,-3.50899686028505e-08,-4.45152917086875e-08,0,0,0,0,0
"5",0,43,"high",1,19.3283155129757,17.5111128851616,17.9654135421151,-7.16426725580109e-09,-2.45201682340589e-08,-3.16844354898599e-08,0,0,0,0,0
"6",0.4,43,"high",1,18,18,18,-5.58461327582411e-09,-2.8026744902595e-08,-3.36113581784191e-08,0,0,0,0,0
"7",0,42,"high",1,19.3283155129757,17.5111128851616,17.9654135421151,-5.50205072968582e-09,-3.2331076065765e-08,-3.78331267954508e-08,0,0,0,0,0
"8",0.4,42,"high",1,18,18,18,-1.64938826679305e-08,-2.11022763766115e-08,-3.7596159044542e-08,0,0,0,0,0
"9",0,41,"high",1,19.3283155129757,17.5111128851616,17.9654135421151,-2.86077272153518e-08,-4.67907700330715e-08,-7.53984972484232e-08,0,0,0,0,0
"10",0.4,41,"high",1,18,18,18,-8.71912038356758e-09,-3.05251783910626e-08,-3.92442987746301e-08,0,0,0,0,0
"11",0,40,"high",1,19.3283155129757,17.5111128851616,17.9654135421151,-9.18938102154769e-09,-2.7424968606053e-08,-3.66143496276007e-08,0,0,0,0,0
"12",0.4,40,"high",1,18,18,18,-7.98785225781423e-09,-4.08522270373248e-08,-4.8840079295139e-08,0,0,0,0,0
"13",0,39,"high",1,19.3283155129757,17.5111128851616,17.9654135421151,-9.12285977436577e-09,-2.19594070736241e-08,-3.10822668479898e-08,0,0,0,0,0
"14",0.4,39,"high",1,18,18,18,-1.63545149681488e-08,-2.5088429150882e-08,-4.14429441190308e-08,0,0,0,0,0
"15",0,38,"high",1,19.3283155129757,17.5111128851616,17.9654135421151,-6.28382237116449e-09,-2.37600146925965e-08,-3.0043837063761e-08,0,0,0,0,0
"16",0.4,38,"high",1,18,18,18,-9.70804526109311e-09,-3.08795553132321e-08,-4.05876005743252e-08,0,0,0,0,0
"17",0,37,"high",1,19.3283155129757,17.5111128851616,17.9654135421151,-7.81438522536924e-09,-1.92534497416819e-08,-2.70678349670512e-08,0,0,0,0,0
